site,MLE,Lower,Upper,LogL_global,LogL_local
1,0,0,0.796869342119,-5.17975806681,-4.30025338247
2,4.33784137735,1.78651854763,9.21107201608,-39.7552548445,-37.9649952914
3,2.68044701715,0.936707822359,6.10800679187,-30.9185200253,-29.5943086872
4,8.70644888171,3.96900713669,18.4980211764,-51.7772475469,-46.9242222852
5,1.66156443183,0.405382907238,4.54784767245,-18.6529798035,-17.403158673
6,4.3881216281,1.82121045589,9.02778999677,-32.2308752122,-30.4065929637
7,2.6988715325,0.959485086389,5.89966458542,-34.9969885496,-33.6676283482
8,3.80541799449,1.47746909282,8.10846755644,-32.2836015588,-30.7428278759
9,2.61180464942,0.924612090166,5.7750946646,-30.9889505591,-29.6542822834
10,2.47328457512,0.880324777773,5.4110967511,-29.5054312276,-28.1469854191
11,4.29647021745,1.74511681549,9.35779606969,-38.3973154715,-36.6426772073
12,1.71547996044,0.442747128961,4.35820787653,-23.0257870192,-21.7117572629
13,4.11684976101,1.69925157901,8.64804358487,-40.135527866,-38.4441863679
14,1.44959608874,0.358466228225,3.80855973375,-22.2945331243,-20.9842784658
15,0.52711231981,0.0299156519258,2.37420024622,-8.02906314386,-7.27148247707
16,0.511173237122,0.0289917547197,2.31129894216,-10.4254751133,-9.6661016754
17,3.37479173018,1.29713883855,7.4269770991,-32.8832529822,-31.4711820828
18,1.51162925585,0.370396084268,4.10632968801,-22.3441717863,-21.066679419
19,1.97737686326,0.609650128546,4.66355992735,-29.2941711823,-27.9033807816
20,6.51165575102,3.10553478471,12.454339763,-48.5083293166,-44.9518679611
21,2.40915673737,0.730350918614,5.90047230025,-23.4349221665,-22.151120349
22,2.48601530452,0.885080203371,5.42804674551,-30.0083929216,-28.6522090475
23,3.37278925322,1.31200326245,7.21237063696,-36.2260239837,-34.811310719
24,0.988629575641,0.163357169332,3.10730798958,-15.8135547211,-14.7593904016
25,0,0,0.869396901589,-3.2396465015,-2.39394063031
26,5.66378904926,2.6343667403,10.9494467489,-46.1973317944,-43.3768745016
27,2.10996611686,0.646290417911,5.04312202078,-25.9587331273,-24.6137262519
28,2.7689640123,0.979536866948,6.12273114191,-28.2882997122,-26.9632512931
29,0,0,0.801189621893,-4.86266372352,-3.98528229723
30,3.18718415154,1.23785563359,6.81814620836,-41.6078649376,-40.2299909393
31,0.938826059878,0.155692991113,2.92187849617,-13.3905946004,-12.335064351
32,3.03009583066,1.1877002796,6.33936730239,-39.6397318434,-38.2802488778
33,4.82966734801,2.14516925078,9.52090181644,-44.4946465611,-42.3408063891
34,0.451256998181,0.0256878570046,2.00200220358,-9.68411643177,-8.9067051046
35,0.928200476668,0.153948211049,2.88804385399,-20.5667991545,-19.5122214537
36,0,0,0.815420874963,-4.22985863343,-3.35936927093
37,0,0,0.81914542421,-4.11556885009,-3.24685750498
38,0,0,0.801189621893,-4.86266372352,-3.98528229723
39,0,0,0.869396901589,-3.2396465015,-2.39394063031
40,0,0,0.817552124775,-4.16279413368,-3.29332347094
41,0.52711231981,0.0299156519258,2.37420024622,-8.45049330992,-7.69291264312
42,0.442877141685,0.0252162202249,1.96575018695,-11.5082748414,-10.7287034769
43,0,0,0.955382186327,-2.59336662028,-1.78325270818
44,0,0,0.825936170369,-3.93710429356,-3.07160781135
45,0.442877141685,0.0252286192541,1.96074958186,-10.8556044846,-10.07540349
46,6.25614875657,2.58581533887,12.1814829649,-40.7759992074,-37.9537060462
47,0,0,0.817353398563,-4.16885202226,-3.29928651783
48,0.936437797564,0.155100550136,2.92305539079,-16.8864583577,-15.8328245194
49,0.428066613167,0.0244164247852,1.89479733512,-12.636466664,-11.8517859981
50,0,0,0.955382186327,-2.59336662028,-1.78325270818
51,0,0,0.817353398563,-4.16885202226,-3.29928651783
52,2.58068233585,0.909230222479,5.78506455951,-32.7927941546,-31.456801678
53,0,0,0.864256675457,-3.29915584935,-2.45117729837
54,0,0,0.87932796734,-3.60449542726,-2.76353490924
55,0,0,0.825936170369,-3.93710429356,-3.07160781135
56,0.487917067222,0.0278001145097,2.16576912138,-9.85592042262,-9.08697628897
57,0,0,0.955382186327,-2.59336662028,-1.78325270818
58,0,0,0.864256675457,-3.29915584935,-2.45117729837
59,0,0,0.955382186327,-2.59336662028,-1.78325270818
60,0,0,0.825936170369,-3.93710429356,-3.07160781135
61,0,0,0.817552124775,-4.16279413368,-3.29332347094
62,0,0,0.864256675457,-3.29915584935,-2.45117729837
63,0,0,0.821396550071,-4.05260686869,-3.1849650753
64,1.04676750244,0.171904147153,3.36041219836,-15.2336434728,-14.188091572
65,0.939836381475,0.155718620434,2.93018729419,-15.536549947,-14.4819724705
66,1.36216667988,0.33730523761,3.57646413923,-23.4131429303,-22.094648506
67,0,0,0.955382186327,-2.59336662028,-1.78325270818
68,0,0,0.817353398563,-4.16885202226,-3.29928651783
69,0.431452919966,0.0245977106154,1.90896745727,-12.0257768021,-11.2420700481
70,1.84053132214,0.568174606985,4.3357583023,-30.0467688795,-28.6079709876
71,0,0,0.864256675457,-3.29915584935,-2.45117729837
72,0.969353850041,0.160412177657,3.03301646458,-12.5641246898,-11.5088597883
73,0,0,0.825936170369,-3.93710429356,-3.07160781135
74,0,0,0.816509890131,-4.19500221408,-3.32503381319
75,0,0,0.80387101808,-4.70754176676,-3.83147100312
76,1.00399983358,0.165830421476,3.15938872423,-15.1430965921,-14.0886373848
77,1.36144456167,0.337097892384,3.57107116064,-24.7534406071,-23.434079653
78,0,0,0.955382186327,-2.59336662028,-1.78325270818
79,3.42576513788,1.33821389751,7.1843431514,-33.097457163,-31.6686597882
80,4.86668913255,2.22126403314,9.57380175857,-44.5994785002,-42.373519949
81,0,0,0.955382186327,-2.59336662028,-1.78325270818
82,0,0,0.81914542421,-4.11556885009,-3.24685750498
83,2.45502814121,0.872464849122,5.39261422592,-33.539547702,-32.1784290874
84,0,0,0.818447591302,-4.13596490777,-3.26692123332
85,0.452730247693,0.0257866276488,2.01069818466,-10.942936124,-10.1660937074
86,0,0,0.864256675457,-3.29915584935,-2.45117729837
87,2.01909578081,0.618143429487,4.86244639461,-28.5134498785,-27.1469324962
88,0,0,0.87932796734,-3.60449542726,-2.76353490924
89,0,0,0.869396901589,-3.2396465015,-2.39394063031
90,0,0,0.835114958363,-3.73959569065,-2.87839083649
91,0,0,0.955382186327,-2.59336662028,-1.78325270818
92,0.450603057341,0.0256790669808,2.00094858249,-10.4303871589,-9.65290015113
93,0.902342273752,0.149502866963,2.81628280692,-16.1467121623,-15.0966518728
94,0.450603057341,0.0256790669808,2.00094858249,-10.0619204904,-9.28443348264
95,0,0,0.955382186327,-2.59336662028,-1.78325270818
96,0,0,0.801189621893,-4.86266372352,-3.98528229723
97,0.443517082345,0.0252760284789,1.96458874194,-10.3867530539,-9.60679930044
98,4.71209608561,1.92728752036,9.77598277466,-34.8143828057,-32.8473972605
99,0,0,0.955382186327,-2.59336662028,-1.78325270818
100,0,0,0.817353398563,-4.16885202226,-3.29928651783
101,1.04772418535,0.171922222945,3.37067613448,-18.0960864881,-17.051756995
102,0,0,0.955382186327,-2.59336662028,-1.78325270818
103,2.74414966967,0.969844876108,6.08333538354,-30.2191628249,-28.8938250685
104,4.46332250992,1.99793745345,8.67893079052,-38.894806058,-36.9442018419
105,0,0,0.955382186327,-2.59336662028,-1.78325270818
106,0.45582819635,0.0259631607153,2.03219116479,-10.9659867113,-10.1908082504
107,0,0,0.955382186327,-2.59336662028,-1.78325270818
108,0,0,0.821396550071,-4.05260686869,-3.1849650753
109,0,0,0.817552124775,-4.16279413368,-3.29332347094
110,0,0,0.864256675457,-3.29915584935,-2.45117729837
111,0.450603057341,0.0256790669808,2.00094858249,-10.3684947292,-9.59100772145
112,0.51213547619,0.0290354641063,2.31933784988,-9.08156396633,-8.32279973483
113,0.468575143187,0.0266720908757,2.09135976007,-10.488891818,-9.71713876576
114,1.92506123188,0.593411352987,4.55121799701,-28.0412440892,-26.6340443524
115,1.63989327856,0.400194498923,4.48031933198,-20.0104432275,-18.7561137158
116,0,0,0.869396901589,-3.2396465015,-2.39394063031
117,0,0,0.81914542421,-4.11556885009,-3.24685750498
118,0.912755869763,0.151192363546,2.85106947551,-17.2932653813,-16.2424255156
119,0,0,0.825936170369,-3.93710429356,-3.07160781135
120,0,0,0.838917588856,-3.66863363417,-2.80918859025
121,9.08389452709,4.62810754964,17.4361993838,-55.7992547797,-49.558207684
122,0.928050359306,0.153585856614,2.90707375178,-16.6852097028,-15.6341829315
123,0,0,0.801189621893,-4.86266372352,-3.98528229723
